id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,first_priced_at
VET,VET,VET,VeChain Thor,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/vet.png,active,0.10163710,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,66760741299,86712634466,6785368002,0.0029,62,188,1,2018-07-13T00:00:00Z,2018-07-13T00:00:00Z,2018-08-29T00:00:00Z,29,-1,0.25463320,2021-04-18T00:00:00Z,
DAI,DAI,DAI,Dai,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/DAI.svg,active,1.00205073,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,6300558823,6300558823,6313479537,0.0027,156,1348,414,2017-12-22T00:00:00Z,2017-12-22T00:00:00Z,2018-09-07T00:00:00Z,30,1,1.15263340,2018-04-07T00:00:00Z,
THETA,THETA,THETA,Theta Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/theta.png,active,5.72302395,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,1000000000,1000000000,5723023947,0.0024,53,120,0,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z,2018-08-29T00:00:00Z,31,-1,14.33492707,2021-04-16T00:00:00Z,
CETH,CETH,CETH,Compound Ether,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CETH.png,active,63.90913435,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,88419693,88419693,5650826034,0.0024,4,9,0,2020-03-25T00:00:00Z,2020-07-04T00:00:00Z,,32,0,83.81789456,2021-05-11T00:00:00Z,
XTZ,XTZ,XTZ,Tezos,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xtz.svg,active,5.86945254,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,845244883,,4961124725,0.0021,103,250,0,2017-06-23T00:00:00Z,2017-06-23T00:00:00Z,2018-09-17T00:00:00Z,33,0,10.34882163,2017-12-17T00:00:00Z,
CAKE,CAKE,CAKE,PancakeSwap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CAKE.jpg,active,21.42066239,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,227988138,456594958,4883656926,0.0021,57,933,753,2020-09-22T00:00:00Z,2020-09-22T00:00:00Z,2020-09-29T00:00:00Z,34,1,42.71197364,2021-04-29T00:00:00Z,2021-02-02T14:53:17.269368Z
OKB,OKB,OKB,OKEx Utility Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/OKB.png,active,18.03340190,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,265115438,300000000,4780933247,0.0020,48,209,0,2017-07-09T00:00:00Z,2019-06-13T00:00:00Z,2019-02-14T00:00:00Z,35,1,42.42406563,2021-05-02T00:00:00Z,
CDAI,CDAI,CDAI,Compound Dai,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CDAI.png,active,0.021630233,2021-09-20T00:00:00Z,2021-09-20T06:19:00Z,214579068589,214579068589,4641395306,0.0020,8,24,1,2020-03-25T00:00:00Z,2020-05-18T00:00:00Z,2020-04-09T00:00:00Z,36,6,0.024212453,2020-09-20T00:00:00Z,
CRO,CRO,CRO,Crypto.com Chain,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/cro.jpg,active,0.17886557,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,25263013692,30263013692,4518683335,0.0019,59,193,1,2019-03-07T00:00:00Z,2019-03-08T00:00:00Z,2019-03-08T00:00:00Z,37,2,0.24545065,2021-04-15T00:00:00Z,
SHIB,SHIB,SHIB,Shiba Inu,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SHIB.png,active,0.0000076465239,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,589746894736385,999999980899601,4509513706,0.0019,72,131,13,2020-07-31T00:00:00Z,2020-07-31T00:00:00Z,2021-02-01T00:00:00Z,38,5,0.0019361145,2020-11-08T00:00:00Z,
XMR,XMR,XMR,Monero,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xmr.svg,active,250.48810366,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,17996218,,4507838597,0.0019,126,494,113,2014-05-19T00:00:00Z,2014-05-19T00:00:00Z,2018-08-29T00:00:00Z,39,-2,484.64769723,2021-05-09T00:00:00Z,
EOS,EOS,EOS,EOS,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/eos.svg,active,4.65151195,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,967777196,,4501627191,0.0019,207,1265,90,2017-06-23T00:00:00Z,2017-06-23T00:00:00Z,2018-08-29T00:00:00Z,40,-6,21.03057177,2018-04-29T00:00:00Z,
BCHA,BCHA,BCHA,Bitcoin Cash ABC,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BCHA.png,active,238.53102383,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,18794058,21000000,4482965991,0.0019,35,58,0,2020-10-10T00:00:00Z,2020-10-10T00:00:00Z,2020-10-10T00:00:00Z,41,5,338.48420890,2021-09-05T00:00:00Z,2020-11-04T19:58:05.382158Z
CUSDC,CUSDC,CUSDC,Compound USD Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CUSDC.png,active,0.022254125,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,201080992070,201080992070,4474881545,0.0019,8,20,0,2019-09-22T00:00:00Z,2020-05-18T00:00:00Z,2020-04-09T00:00:00Z,42,3,0.025778522,2020-09-20T00:00:00Z,
QNT,QNT,QNT,Quant,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/qnt.jpg,active,333.04976027,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,13375967,14612493,4454862759,0.0019,36,78,0,2018-06-25T00:00:00Z,2018-06-25T00:00:00Z,2019-01-29T00:00:00Z,43,-5,395.64495705,2021-09-10T00:00:00Z,
EGLD,EGLD,EGLD,Elrond,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/EGLD.jpeg,active,217.69384712,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,19770656,22430656,4303950165,0.0018,28,53,0,2020-09-02T00:00:00Z,2020-09-03T00:00:00Z,2020-09-03T00:00:00Z,44,-4,281.01103784,2021-09-14T00:00:00Z,
AAVE,AAVE,AAVE,Aave,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AAVE.jpg,active,322.72975897,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,13183230,16000000,4254620520,0.0018,118,328,5,2020-10-02T00:00:00Z,2020-10-02T00:00:00Z,2020-10-04T00:00:00Z,45,-4,629.08164704,2021-05-18T00:00:00Z,
NEAR,NEAR,NEAR,Near Protocol,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/NEAR.jpg,active,8.92708305,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,463870352,1000000000,4141009160,0.0018,39,71,0,2020-09-27T00:00:00Z,2020-10-14T00:00:00Z,2020-09-30T00:00:00Z,46,2,10.44596366,2021-09-08T00:00:00Z,2020-10-28T18:45:07.594685Z
STETH,STETH,STETH,Liquid Staked Ether,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/STETH.png,active,3158.74127717,2021-09-20T00:00:00Z,2021-09-20T05:54:00Z,1297372,1297372,4098062859,0.0017,5,6,0,2020-12-19T00:00:00Z,2020-12-19T00:00:00Z,2021-01-08T00:00:00Z,47,0,4177.38101465,2021-05-11T00:00:00Z,2020-12-28T21:21:34.943723Z
IOT,IOT,IOT,IOTA (MIOTA),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/iot.svg,active,1.44065395,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,2779530283,2779530283,4004341294,0.0017,40,115,0,2017-06-12T00:00:00Z,2017-06-12T00:00:00Z,2018-08-29T00:00:00Z,48,-4,5.38068893,2017-12-19T00:00:00Z,
GRT,GRT,GRT,The Graph,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/GRT.jpg,active,0.77400507,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,4956845231,10000000000,3836623326,0.0016,93,194,0,2020-05-23T00:00:00Z,2020-12-17T00:00:00Z,2020-05-23T00:00:00Z,49,0,2.34078699,2021-02-13T00:00:00Z,
HBAR,HBAR,HBAR,Hedera Hashgraph,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HBAR.jpg,active,0.36569897,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,9683114795,50000000000,3541105108,0.0015,31,62,0,2019-09-17T00:00:00Z,2019-09-17T00:00:00Z,2019-09-17T00:00:00Z,50,0,0.50531677,2021-09-15T00:00:00Z,
AXS2,AXS2,AXS,Axie Infinity,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AXS2.jpg,active,60.10406958,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,57849305,270000000,3476978660,0.0015,65,138,2,2020-11-04T00:00:00Z,2020-11-04T00:00:00Z,2020-11-04T00:00:00Z,51,0,82.79846900,2021-09-04T00:00:00Z,2020-11-09T16:49:37.895041Z
KSM,KSM,KSM,Kusama,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/KSM.jpg,active,379.90363779,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,8980098,10000000,3411571926,0.0015,58,114,0,2019-07-31T00:00:00Z,2020-07-25T00:00:00Z,2019-12-31T00:00:00Z,52,0,597.23604104,2021-05-14T00:00:00Z,
FTM,FTM,FTM,Fantom,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ftm.png,active,1.28476151,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,2541152731,3175000000,3264775222,0.0014,62,223,1137,2018-10-28T00:00:00Z,2018-10-29T00:00:00Z,2019-06-04T00:00:00Z,53,1,1.65953330,2021-09-09T00:00:00Z,
NEO,NEO,NEO,NEO,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/neo.svg,active,45.34619976,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,70530000,100000000,3198267469,0.0014,125,425,2,2016-10-26T00:00:00Z,2017-07-14T00:00:00Z,2018-08-29T00:00:00Z,54,-1,190.75351145,2018-01-15T00:00:00Z,
KLAY,KLAY,KLAY,Klaytn,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/KLAY.jpg,active,1.17656862,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,2505934927,,2948404411,0.0013,30,53,0,2019-09-26T00:00:00Z,2020-03-02T00:00:00Z,2020-02-21T00:00:00Z,55,0,4.21819648,2021-03-30T00:00:00Z,
LEO,LEO,LEO,UNUS SED LEO,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/leotoken.png,active,3.08044203,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,945561216,985239504,2912746509,0.0012,29,80,1,2019-05-20T00:00:00Z,2019-05-20T00:00:00Z,2019-05-20T00:00:00Z,56,1,3.87789968,2021-05-12T00:00:00Z,
BSV,BSV,BSV,Bitcoin SV,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BSV.png,active,151.81417614,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,18847283,21000000,2861284725,0.0012,133,606,85,2017-07-09T00:00:00Z,2018-11-08T00:00:00Z,2018-11-13T00:00:00Z,57,-1,441.18590949,2021-04-16T00:00:00Z,
UST2,UST2,UST,TerraUSD,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/UST2.png,active,1.00627954,2021-09-20T00:00:00Z,2021-09-20T06:19:00Z,2604164985,2604821126,2620517955,0.0011,13,59,0,2020-11-23T00:00:00Z,2020-12-03T00:00:00Z,2020-11-23T00:00:00Z,58,2,1.04206058,2021-01-31T00:00:00Z,2020-12-07T18:13:50.742537Z
SUSHI,SUSHI,SUSHI,Sushi,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SUSHI.jpg,active,11.14555577,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,230344229,233967916,2567314450,0.0011,128,348,24,2019-06-03T00:00:00Z,2020-08-28T00:00:00Z,2020-08-28T00:00:00Z,59,0,22.76851354,2021-03-13T00:00:00Z,
WAVES,WAVES,WAVES,Waves,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/WAVES.png,active,25.16497642,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,100000000,100000000,2516497642,0.0011,80,1469,5944,2016-06-20T00:00:00Z,2016-11-15T00:00:00Z,2018-08-29T00:00:00Z,60,-2,35.91422367,2021-05-05T00:00:00Z,
BITTORRENT,BITTORRENT,BTT,BitTorrent,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/bittorrent.png,active,0.0036488496,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,659071882049,990000000000,2404854149,0.0010,82,204,0,2019-01-30T00:00:00Z,2019-01-31T00:00:00Z,2019-01-31T00:00:00Z,61,0,0.010396929,2021-04-05T00:00:00Z,
PLAY,PLAY,PLAY,HeroCoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/PLAY.png,active,15.93469366,2021-09-20T00:00:00Z,2021-09-20T06:10:00Z,148842769,252165029,2371763926,0.0010,8,12,0,2018-01-05T00:00:00Z,2018-01-05T00:00:00Z,2019-03-14T00:00:00Z,62,15,15.97586363,2021-09-20T00:00:00Z,
MKR,MKR,MKR,Maker,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/MKR.svg,active,2628.01214036,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,901311,991328,2368656112,0.0010,143,387,6,2017-12-21T00:00:00Z,2017-12-21T00:00:00Z,2018-09-07T00:00:00Z,63,0,5989.89518131,2021-05-03T00:00:00Z,
RUNE,RUNE,RUNE,Thorchain,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/RUNE.png,active,8.64278259,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,262741793,500000000,2270820192,0.0010,24,56,0,2019-07-20T00:00:00Z,2019-07-20T00:00:00Z,2019-07-26T00:00:00Z,64,-2,20.35408274,2021-05-18T00:00:00Z,
HT,HT,HT,Huobi Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ht.jpg,active,13.50712711,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,164081489,500000000,2216269531,0.0009,75,482,6880,2018-06-16T00:00:00Z,2018-06-16T00:00:00Z,2019-02-15T00:00:00Z,65,0,34.97069406,2021-05-12T00:00:00Z,
AMP2,AMP2,AMP,AMP Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AMP2.jpg,active,0.045862614,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,48013928909,99415958135,2202044307,0.0009,24,40,1,2015-11-04T00:00:00Z,2017-11-22T00:00:00Z,2018-09-12T00:00:00Z,66,-2,0.10878131,2021-06-16T00:00:00Z,2020-12-08T16:40:31.111161Z
CEL,CEL,CEL,Celsius,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/cel.jpg,active,5.28616183,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,410730516,695658161,2171187975,0.0009,36,85,0,2018-04-24T00:00:00Z,2018-04-24T00:00:00Z,2019-06-12T00:00:00Z,67,-1,8.02071134,2021-06-03T00:00:00Z,
COMP,COMP,COMP,Compound,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/COMP.png,active,375.94562849,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,5400845,10000000,2030423922,0.0009,134,347,7,2020-06-15T00:00:00Z,2020-06-15T00:00:00Z,2020-06-15T00:00:00Z,68,0,855.53236249,2021-05-11T00:00:00Z,
SNX,SNX,SNX,Synthetix Network Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SNX.png,active,11.48747741,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,174336697,234308092,2002688869,0.0009,121,334,6,2018-03-15T00:00:00Z,2018-03-15T00:00:00Z,2019-05-15T00:00:00Z,69,-2,27.15500064,2021-02-12T00:00:00Z,
1INCH,1INCH,1INCH,1inch,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/1INCH.jpg,active,2.82433589,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,667110832,1500000000,1884145067,0.0008,87,220,4,2020-12-24T00:00:00Z,2020-12-25T00:00:00Z,2020-12-25T00:00:00Z,70,-1,7.50231196,2021-05-08T00:00:00Z,2020-12-28T18:53:34.959468Z
HELIUM,HELIUM,HNT,Helium,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HELIUM.jpeg,active,18.60597829,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,101193872,,1882810986,0.0008,14,28,0,2020-04-17T00:00:00Z,2020-09-15T00:00:00Z,2020-04-17T00:00:00Z,71,0,26.38194402,2021-08-23T00:00:00Z,
DASH,DASH,DASH,Dash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/dash.svg,active,181.17058853,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,10338873,18920000,1873099774,0.0008,196,817,172,2014-02-07T00:00:00Z,2014-02-07T00:00:00Z,2018-08-29T00:00:00Z,72,-2,1440.27831631,2017-12-20T00:00:00Z,
CELO,CELO,CELO,Celo,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CELO.svg,active,6.25232610,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,286702568,1000000000,1792557948,0.0008,24,68,32,2020-05-15T00:00:00Z,2020-08-28T00:00:00Z,2020-05-21T00:00:00Z,73,10,6.43886653,2021-09-20T00:00:00Z,
DCR,DCR,DCR,Decred,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/dcr.svg,active,133.40536847,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,13328029,21000000,1778030573,0.0008,50,115,0,2016-02-09T00:00:00Z,2016-05-16T00:00:00Z,2018-09-12T00:00:00Z,74,-2,246.17992980,2021-04-16T00:00:00Z,
BLOCKSTACK,BLOCKSTACK,STX,Stacks,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BLOCKSTACK.png,active,1.31368977,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,1247845010,1352464600,1639281224,0.0007,17,32,0,2017-11-10T00:00:00Z,2017-11-10T00:00:00Z,2019-06-05T00:00:00Z,75,-2,2.69589618,2021-04-14T00:00:00Z,
CHZ,CHZ,CHZ,Chiliz,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CHZ.png,active,0.30254269,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,5344064580,8888888888,1616807669,0.0007,84,214,2,2019-06-29T00:00:00Z,2019-06-29T00:00:00Z,2019-07-17T00:00:00Z,76,-2,0.71813807,2021-04-16T00:00:00Z,
HOT,HOT,HOT,Holo,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/hot.png,active,0.0089515714,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,177619433541,177619433541,1589973047,0.0007,76,222,0,2018-04-29T00:00:00Z,2018-04-29T00:00:00Z,2018-08-29T00:00:00Z,77,-1,0.028690459,2021-04-05T00:00:00Z,
HARMONY,HARMONY,ONE,Harmony,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/harmony.jpg,active,0.14457733,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,10559755608,,1526701237,0.0007,30,107,279,2017-07-09T00:00:00Z,2018-10-16T00:00:00Z,2019-06-02T00:00:00Z,78,-3,0.21698957,2021-09-12T00:00:00Z,
XEM,XEM,XEM,NEM,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xem.svg,active,0.16892646,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,8999999999,8999999999,1520338142,0.0006,84,199,1,2015-03-31T00:00:00Z,2015-03-31T00:00:00Z,2018-08-29T00:00:00Z,79,-1,1.81231606,2018-01-07T00:00:00Z,
TFUEL,TFUEL,TFUEL,Theta Fuel,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/TFUEL.png,active,0.28390769,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,5301219200,5301219200,1505056907,0.0006,19,31,0,2019-03-19T00:00:00Z,2019-03-19T00:00:00Z,2019-03-22T00:00:00Z,80,-1,0.58979594,2021-06-20T00:00:00Z,
ZEC,ZEC,ZEC,Zcash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/zec.svg,active,126.58011376,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,11594046,21000000,1467575608,0.0006,168,472,64,2016-09-15T00:00:00Z,2016-09-15T00:00:00Z,2018-08-29T00:00:00Z,81,-1,2073.65390690,2016-10-29T00:00:00Z,
IOST,IOST,IOST,IOStoken,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/iost.svg,active,0.062019154,2021-09-20T00:00:00Z,2021-09-20T06:20:00Z,22760155734,22760155734,1411565612,0.0006,67,164,0,2018-01-24T00:00:00Z,2018-01-24T00:00:00Z,2018-08-29T00:00:00Z,82,-1,0.10092485,2018-01-25T00:00:00Z,
